,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
124,124,136,B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}",horror,anxiety and fear,rejection,increased workload,,"Question: What does someone typically feel when applying for a job? (A) horror (B) anxiety and fear (C) rejection (D) increased workload. 
The correct response is: "," (B) anxiety and fear 
The correct response is: (B) anxiety and fear 
The correct response is: (B) anxiety and fear 
The correct response is: (B) anxiety and fear 
The correct response is"
125,125,590,C,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet store', 'outside', 'woodland', 'ocean', 'cafe'], dtype=object)}",pet store,outside,woodland,ocean,,"Question: Joe is a  squirrel, which is an animal. He probably lives in what sort of place. (A) pet store (B) outside (C) woodland (D) ocean. 
The correct response is: "," (C) woodland 
The correct response is: (C) woodland 
The correct response is: (C) woodland 
The correct response is: (C) woodland 
The correct response is:"
126,126,868,D,What happens when you go somewhere and forget something at home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arriving', 'arrive there', 'turn around', 'go back', 'fart'],
      dtype=object)}",arriving,arrive there,turn around,go back,,"Question: What happens when you go somewhere and forget something at home? (A) arriving (B) arrive there (C) turn around (D) go back. 
The correct response is: "," (D) go back 
The correct response question is: What happens when you go somewhere and forget something at home? 
The correct response is: go back 
The correct response is: turn around 
The correct response is: arrive there 
The correct"
127,127,591,C,Where could a personal ficus live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabin in the woods', 'california', 'front yard', 'conservatory',
       'tropical forest'], dtype=object)}",cabin in the woods,california,front yard,conservatory,,"Question: Where could a personal ficus live? (A) cabin in the woods (B) california (C) front yard (D) conservatory. 
The correct response is: "," (D) conservatory 
The correct response is: (D) conservatory 
The correct response is: (D) conservatory 
The correct response is: (D) conservatory 
The correct response is: (D) conservatory 
The correct"
128,128,139,A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}",countryside,great plains,encyclopedia,jungle,,"Question: What green area is a marmot likely to be found in? (A) countryside (B) great plains (C) encyclopedia (D) jungle. 
The correct response is: "," (A) countryside 
The marmot is likely to be found in: A field 
The correct response is: A field 
The marmot is likely to be found in: A field 
The correct response is"
129,129,64,A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",state park,bus stop,bus depot,statue,,"Question: What is a place that has a bench nestled in trees? (A) state park (B) bus stop (C) bus depot (D) statue. 
The correct response is: "," (A) state park 
The correct response is: none 
The correct response is: none 
The correct response is: none 
The correct response is: (A) state park 
The correct response is: none 
The correct response"
130,130,57,D,Where would you go if you wanted to have fun with a few people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",watching television,good,cinema,friend's house,,"Question: Where would you go if you wanted to have fun with a few people? (A) watching television (B) good (C) cinema (D) friend's house. 
The correct response is: "," (D) friend's house 
The correct response is: (D) friend's house 
The correct response is: (D) friend's house 
The correct response is: (D) friend's house 
The correct"
131,131,12,A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",farm house,barnyard,stockyard,slaughter house,,"Question: Where does a heifer's master live? (A) farm house (B) barnyard (C) stockyard (D) slaughter house. 
The correct response is: "," (B) barnyard 
The master of a heifer is a human being who owns it. The correct response is: (B) barnyard 
The correct response is: (B) barnyard 
The correct response is: ("
132,132,1129,D,Where is a good place to have a fireplace in a house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big house', 'train', 'cabin', 'living room', 'home'], dtype=object)}",big house,train,cabin,living room,,"Question: Where is a good place to have a fireplace in a house? (A) big house (B) train (C) cabin (D) living room. 
The correct response is: "," (C) cabin 
The correct response is also: (D) living room 
The correct response is not: (A) big house (B) train 
The correct response is not: (B) train 
The correct response is not: (D"
133,133,299,A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}",casino,football ground,ballpark,family room,,"Question: Where do play a game for money? (A) casino (B) football ground (C) ballpark (D) family room. 
The correct response is: "," (A) casino 
The correct response is: none of these 
The correct response is: (A) casino 
The correct response is: none of these 
The correct response is: (A) casino 
The correct response is: none of these "
134,134,841,C,Metal is taken from what which is pulled from the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'instruments', 'ore', 'car', 'junkyard'], dtype=object)}",dirt,instruments,ore,car,,"Question: Metal is taken from what which is pulled from the ground? (A) dirt (B) instruments (C) ore (D) car. 
The correct response is: "," (C) ore 
The correct response is: (C) ore 
The correct response is: (C) ore 
The correct response is: (C) ore 
The correct response is: (C) ore 
The correct response is: (C) ore"
135,135,501,C,"By learning about the world, many poor college students gain what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'greater mobility', 'desire to travel',
       'global warming', 'increased security'], dtype=object)}",pleasure,greater mobility,desire to travel,global warming,,"Question: By learning about the world, many poor college students gain what? (A) pleasure (B) greater mobility (C) desire to travel (D) global warming. 
The correct response is: "," (B) greater mobility 
The correct response justification: Learning about the world opens up opportunities for students, so they have greater mobility 
The correct response is: (B) greater mobility 
The correct response justification: Learning"
136,136,483,D,What happens to a body after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rebirth', 'human experience', 'sadness', 'decomposition',
       'obesity'], dtype=object)}",rebirth,human experience,sadness,decomposition,,"Question: What happens to a body after death? (A) rebirth (B) human experience (C) sadness (D) decomposition. 
The correct response is: "," (D) decomposition 
The correct response question is: A body rots after death 
The correct response is: (D) decomposition 
The correct response question is: A body rots after death 
The correct response is: (D) decomposition 
The correct response question is"
137,137,1031,D,Noble citizen of the Roman empire believed those born with lower status were what to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loser', 'ignoble', 'peasant', 'inferior', 'plebeian'],
      dtype=object)}",loser,ignoble,peasant,inferior,,"Question: Noble citizen of the Roman empire believed those born with lower status were what to them? (A) loser (B) ignoble (C) peasant (D) inferior. 
The correct response is: "," (B) ignoble 
The correct response justification: The correct response is: (B) ignoble 
The correct response is: (B) ignoble 
The correct response justification: The correct"
138,138,347,D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}",change of color,stop breathing,wake up,death and decay,,"Question: As a result of dying, what happens to organic material? (A) change of color (B) stop breathing (C) wake up (D) death and decay. 
The correct response is: "," (D) death and decay 
The organic material will eventually  (A) disintegrate (B) grow (C) flourish (D) regenerate. 
The correct response is: (A) disintegrate"
139,139,1121,B,What does 	drinking alcohol lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'intoxication', 'vomiting', 'drinking more alcohol',
       'nausea'], dtype=object)}",have fun,intoxication,vomiting,drinking more alcohol,,"Question: What does 	drinking alcohol lead to? (A) have fun (B) intoxication (C) vomiting (D) drinking more alcohol. 
The correct response is: "," (C) vomiting 
The correct response aside from these is: (D) drinking more alcohol 
The incorrect responses are: (A) have fun (B) intoxication 
The alcohol is broken down by: (A"
140,140,244,B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}",man suit,pants,naked,action,,"Question: Women used to be expected to wear a dress but it's now acceptable for them to wear what? (A) man suit (B) pants (C) naked (D) action. 
The correct response is: "," (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is:"
141,141,1116,A,Where is a bird likely to make it's home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'nest', 'roof', 'leaves', 'sky'], dtype=object)}",forest,nest,roof,leaves,,"Question: Where is a bird likely to make it's home? (A) forest (B) nest (C) roof (D) leaves. 
The correct response is: "," (B) nest 
The correct response is: (B) nest 
The correct response is: (B) nest 
The correct response is: (B) nest 
The correct response is: (B) nest 
The correct response is: (B) nest "
142,142,543,B,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting his nails', 'playing marbles', 'constructing',
       'need for rest', 'wild ride'], dtype=object)}",painting his nails,playing marbles,constructing,need for rest,,"Question: Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing? (A) painting his nails (B) playing marbles (C) constructing (D) need for rest. 
The correct response is: "," (C) constructing 
The correct response is: (C) constructing 
The correct response is: (C) constructing 
The correct response is: (C) construct"
143,143,117,C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}",bus stop,tunnel,synagogue,fairy tale,,"Question: Where could a person avoid the rain? (A) bus stop (B) tunnel (C) synagogue (D) fairy tale. 
The correct response is: "," (D) fairy tale 
The person cannot avoid the rain by going to: (A) bus stop (B) tunnel (C) synagogue 
The correct response is: (D) fairy tale 
The person can avoid the rain by going to: ("
144,144,318,B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}",maryland,indiana,on tv,park,,"Question: They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where? (A) maryland (B) indiana (C) on tv (D) park. 
The correct response is: "," (C) on tv 
The correct response is: (C) on tv 
The correct response is: (C) on tv 
The correct response is: ("
145,145,121,C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}",accidental,detestable,effusive,enabled,,"Question: James noticed that his penis was bigger. .  How might he act toward his plastic surgeon? (A) accidental (B) detestable (C) effusive (D) enabled. 
The correct response is: "," (C) effusive 
The patient might act: Grateful 
The correct response is: (C) effusive 
The patient might act: Grateful 
The correct response is: ("
146,146,352,B,What happens when to ice when it is in the sun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",carved,melted,ice cream,antarctica,,"Question: What happens when to ice when it is in the sun? (A) carved (B) melted (C) ice cream (D) antarctica. 
The correct response is: "," (B) melted 
The correct response is: (B) melted 
The correct response is: (B) melted 
The correct response is: (B) melted 
The correct response is: ("
147,147,556,A,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battery', 'electronic equipment', 'electrolytic cell', 'charge',
       'tube'], dtype=object)}",battery,electronic equipment,electrolytic cell,charge,,"Question: The electrode wouldn't spark, it turned out that the what hadn't been connected? (A) battery (B) electronic equipment (C) electrolytic cell (D) charge. 
The correct response is: "," (D) charge 
The correct response is: (D) charge 
The correct response is: (D) charge 
The correct response is: (D) charge 
The correct response is: (D)"
148,148,944,A,"The terrace had Kanji written on it, indicating that it was made where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['japan', 'rice paddy', 'garden', 'michigan', 'italy'], dtype=object)}",japan,rice paddy,garden,michigan,,"Question: The terrace had Kanji written on it, indicating that it was made where? (A) japan (B) rice paddy (C) garden (D) michigan. 
The correct response is: "," (B) rice paddy 
The correct response is: (B) rice paddy 
The correct response is: (B) rice paddy 
The correct response is: (B) rice paddy 
The correct response is"
149,149,522,A,Where could there be a battle that involves words?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'war', 'video game', 'iraq', 'church'], dtype=object)}",court room,war,video game,iraq,,"Question: Where could there be a battle that involves words? (A) court room (B) war (C) video game (D) iraq. 
The correct response is: "," (A) court room 
The correct response is: none of these are correct 
The correct response is: (A) court room 
The correct response is: none of these are correct 
The correct response is: (A) court room 
The correct response"
150,150,201,A,What part of a table would you put a ruler in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'desk', 'the backside', 'office', 'measure distance'],
      dtype=object)}",drawer,desk,the backside,office,,"Question: What part of a table would you put a ruler in? (A) drawer (B) desk (C) the backside (D) office. 
The correct response is: "," (C) the backside 
The correct response justification: A ruler is used for measuring length, so it would be placed in the backside of the table 
The correct response justification: A ruler is used for measuring length, so"
151,151,995,A,John and Tim like playing. It makes them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling happy', 'learning', 'injury', 'burn', 'get hungry'],
      dtype=object)}",feeling happy,learning,injury,burn,,"Question: John and Tim like playing. It makes them what? (A) feeling happy (B) learning (C) injury (D) burn. 
The correct response is: "," (A) feeling happy 
The correct response is: All of these 
The correct response is: (A) feeling happy 
The correct response is: (D) burn 
The correct response is: (B) learning 
The correct response is: (C) injury"
152,152,170,C,John didn't care about style.  He felt that form was less important than what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shapeless', 'quality', 'function', 'change shape', 'chaos'],
      dtype=object)}",shapeless,quality,function,change shape,,"Question: John didn't care about style.  He felt that form was less important than what? (A) shapeless (B) quality (C) function (D) change shape. 
The correct response is: "," (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
"
153,153,620,A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water plants', 'believe in god', 'drive to the nearest pool',
       'speaking english', 'raise children'], dtype=object)}",water plants,believe in god,drive to the nearest pool,speaking english,,"Question: The fresh herbs, flowers, and vegetables will shrivel up if people don't do this? (A) water plants (B) believe in god (C) drive to the nearest pool (D) speaking english. 
The correct response is: "," (A) water plants 
The correct response is: none of these 
The correct response is: (A) water plants 
The correct response is: none of these 
The"
154,154,691,C,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deadly', 'imprisoned', 'paid for', 'expensive', 'in prison'],
      dtype=object)}",deadly,imprisoned,paid for,expensive,,"Question: If somebody buys something and gives it to me as a free gift, what is the cost status of the gift? (A) deadly (B) imprisoned (C) paid for (D) expensive. 
The correct response is: "," (C) paid for 
The correct response is: (C) paid for 
The correct response is: (C) paid for 
The correct response is: (C) paid for 
The correct"
155,155,862,C,Where would you display a picture on a horizontal surface?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microwave', 'desktop', 'shelf', 'art show', 'wall'], dtype=object)}",microwave,desktop,shelf,art show,,"Question: Where would you display a picture on a horizontal surface? (A) microwave (B) desktop (C) shelf (D) art show. 
The correct response is: "," (C) shelf 
The correct response is: (C) shelf 
The correct response is: (C) shelf 
The correct response is: (C) shelf 
The correct response is: (C) shelf 
The correct"
156,156,468,B,What would you put coins into to make it work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stove', 'water fountain', 'desk', 'purse', 'jar'], dtype=object)}",stove,water fountain,desk,purse,,"Question: What would you put coins into to make it work? (A) stove (B) water fountain (C) desk (D) purse. 
The correct response is: "," (D) purse 
The correct response just might be: (A) stove 
The correct response just might be: (B) water fountain 
The correct response just might be: (C) desk 
The correct response"
157,157,98,B,What would you be unable to do if you have too much greed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}",keep things,make friends,play poker,conquer opponent,,"Question: What would you be unable to do if you have too much greed? (A) keep things (B) make friends (C) play poker (D) conquer opponent. 
The correct response is: "," (D) conquer opponent 
The correct response is: (D) conquer opponent 
The poor response is: (C) play poker 
The poor response is: (A) keep things 
The correct response is:"
158,158,340,A,What is someone usually doing if someone else is talking to him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listening', 'language', 'looking at eyes',
       'planning the perfect murder', 'voice'], dtype=object)}",listening,language,looking at eyes,planning the perfect murder,,"Question: What is someone usually doing if someone else is talking to him or her? (A) listening (B) language (C) looking at eyes (D) planning the perfect murder. 
The correct response is: "," (B) language 
The correct response question is: What is someone usually doing if someone else is talking to him or her? 
The correct response is: thinking about language 
The correct response question is: What is someone usually doing if someone"
159,159,459,C,Where would a person live that isn't in the metro area but still has good schools?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'bed', 'suburbs', 'rural', 'neighborhood'], dtype=object)}",woods,bed,suburbs,rural,,"Question: Where would a person live that isn't in the metro area but still has good schools? (A) woods (B) bed (C) suburbs (D) rural. 
The correct response is: "," (A) woods 
The correct response justification: The correct response is: (A) woods 
The correct response is: (A) woods 
The correct response justification: A person who wants to live in a good school"
160,160,745,B,Where do you keep your pizza slice before you eat it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'plate', 'restaurant', 'oven', 'popular'], dtype=object)}",table,plate,restaurant,oven,,"Question: Where do you keep your pizza slice before you eat it? (A) table (B) plate (C) restaurant (D) oven. 
The correct response is: "," (B) plate 
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B)"
161,161,1045,C,What do parents tell a child to do on the weekend?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'begin school', 'go out to play', 'row boat',
       'clean room'], dtype=object)}",study,begin school,go out to play,row boat,,"Question: What do parents tell a child to do on the weekend? (A) study (B) begin school (C) go out to play (D) row boat. 
The correct response is: "," (C) go out to play 
The child is likely to be in  (A) kindergarten 
The child is likely to be doing (A) homework 
The child is likely to be in school (B) high school 
"
162,162,1196,D,John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet shops', 'oklahoma', 'basement', 'bedroom', 'dreams'],
      dtype=object)}",pet shops,oklahoma,basement,bedroom,,"Question: John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be? (A) pet shops (B) oklahoma (C) basement (D) bedroom. 
The correct response is: "," (B) oklahoma 
The correct response is: (B) oklahoma 
The correct response is: (B) oklahoma 
The"
163,163,997,C,"Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meat loaf', 'bedroom', 'microwave', 'living room', 'floor'],
      dtype=object)}",meat loaf,bedroom,microwave,living room,,"Question: Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped? (A) meat loaf (B) bedroom (C) microwave (D) living room. 
The correct response is: "," (C) microwave 
The correct response is: (C) microwave 
The correct response is: (C) microwave "
164,164,448,D,Where would a cat snuggle up with their human?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floor', 'humane society', 'bed', 'comfortable chair',
       'window sill'], dtype=object)}",floor,humane society,bed,comfortable chair,,"Question: Where would a cat snuggle up with their human? (A) floor (B) humane society (C) bed (D) comfortable chair. 
The correct response is: "," (D) comfortable chair 
The human error is: none 
The correct response is: (D) comfortable chair 
The human error is: none 
The correct response is: (D) comfortable chair 
The human error is: none 
The correct"
165,165,1095,C,"She wanted to get in shape, but she couldn't stay focused on the hour long what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'excercise', 'work out', 'video', 'swim'], dtype=object)}",sweating,excercise,work out,video,,"Question: She wanted to get in shape, but she couldn't stay focused on the hour long what? (A) sweating (B) excercise (C) work out (D) video. 
The correct response is: "," (D) video 
The correct response question is: She wanted to get in shape, but she couldn't stay focused on the hour long what? 
The correct response is: (D) video 
The correct"
166,166,517,B,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['building', 'conference', 'assessment', 'demonstration', 'garage'],
      dtype=object)}",building,conference,assessment,demonstration,,"Question: He kept plugging away in his cubicle, it seemed he was the only person not called into the what? (A) building (B) conference (C) assessment (D) demonstration. 
The correct response is: "," (C) assessment 
The correct response is: (C) assessment 
The correct response is: (C) assessment 
The correct response is: (C) assessment 
The correct response is"
167,167,1022,A,What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airplane', 'scooter', 'motorboat', 'car', 'motor vehicle'],
      dtype=object)}",airplane,scooter,motorboat,car,,"Question: What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving? (A) airplane (B) scooter (C) motorboat (D) car. 
The correct response is: "," (D) car 
The correct response is also: (A) airplane 
The correct response is also: (B) scooter 
The correct response is also: (C)"
168,168,92,D,"Anybody could be hired in the kitchen, what was needed of them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forget', 'oil squeaky hinge', 'question authority', 'wash dishes',
       'oik squeaky hinge'], dtype=object)}",forget,oil squeaky hinge,question authority,wash dishes,,"Question: Anybody could be hired in the kitchen, what was needed of them? (A) forget (B) oil squeaky hinge (C) question authority (D) wash dishes. 
The correct response is: "," (D) wash dishes 
The correct response is: (D) wash dishes 
The correct response is: (D) wash dishes 
The correct response is: (D) was"
169,169,164,C,Where would someone purchase an upright piano?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music class', 'college', 'music store', 'music room',
       'music band'], dtype=object)}",music class,college,music store,music room,,"Question: Where would someone purchase an upright piano? (A) music class (B) college (C) music store (D) music room. 
The correct response is: "," (C) music store 
The correct response is: (C) music store 
The correct response is: (C) music store 
The correct response is: (C) music store 
The correct response is: (C) music store 
The correct response is"
170,170,918,A,A town between two mountains is located in a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['valley', 'hospital', 'state', 'train station', 'michigan'],
      dtype=object)}",valley,hospital,state,train station,,"Question: A town between two mountains is located in a what? (A) valley (B) hospital (C) state (D) train station. 
The correct response is: "," (A) valley 
The correct response justification: A valley is a low area between two hills or banks, so a town between two mountains is likely located in a valley 
The correct response is: (A) valley 
The correct response justification: A valley is a low"
171,171,537,A,"The audience listened to the orchestra play, where were they watching the performance?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['concert hall', 'museum', 'school', 'hockey game',
       'sporting event'], dtype=object)}",concert hall,museum,school,hockey game,,"Question: The audience listened to the orchestra play, where were they watching the performance? (A) concert hall (B) museum (C) school (D) hockey game. 
The correct response is: "," (A) concert hall 
The correct response is: none of these 
The correct response is: (A) concert hall 
The correct response is: none of these 
The correct response is: (A) concert hall 
The correct response"
172,172,914,D,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swimming pool', ""rich person's house"", 'country club',
       'fitness center', 'park'], dtype=object)}",swimming pool,rich person's house,country club,fitness center,,"Question: Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what? (A) swimming pool (B) rich person's house (C) country club (D) fitness center. 
The correct response is: "," (D) fitness center 
The correct response is: (D) fitness center 
The correct response is: (D) fitness center 
The correct response is:"
173,173,326,A,What room would you find many bookcases and is used for contemplation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'house', 'homw', 'kitchen', 'den'], dtype=object)}",study,house,homw,kitchen,,"Question: What room would you find many bookcases and is used for contemplation? (A) study (B) house (C) homw (D) kitchen. 
The correct response is: "," (A) study 
The correct response is: none of these 
The correct response is: (A) study 
The correct response is: none of these 
The correct response is: (A) study 
The correct response is: none of"
174,174,838,B,"I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['care less', 'play golf', 'shake hands', 'believe in god',
       'trip over'], dtype=object)}",care less,play golf,shake hands,believe in god,,"Question: I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what? (A) care less (B) play golf (C) shake hands (D) believe in god. 
The correct response is: "," (B) play golf 
The correct response question is: why do people spend so much on expensive clubs when they just end up breaking them up  (A"
175,175,782,B,How is a child eager to be going to play likely to get there?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slowly', 'rush', 'being entertained', 'have fun', 'enjoyment'],
      dtype=object)}",slowly,rush,being entertained,have fun,,"Question: How is a child eager to be going to play likely to get there? (A) slowly (B) rush (C) being entertained (D) have fun. 
The correct response is: "," (C) being entertained 
The child is likely to get there by being entertained  (A) slowly (B) rush (D) have fun 
The correct response is: (D) have fun 
The child"
176,176,233,B,If you jump in any of the oceans you will get?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tanned', 'wet', 'wide', 'very deep', 'fish'], dtype=object)}",tanned,wet,wide,very deep,,"Question: If you jump in any of the oceans you will get? (A) tanned (B) wet (C) wide (D) very deep. 
The correct response is: "," (D) very deep 
The correct response is: (D) very deep 
The correct response is: (D) very deep 
The correct response is: (D) very deep 
The correct response is: (D) very deep 
The"
177,177,750,A,Sean was leaving work and took the roadway that led to his what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['neighborhood', 'city', 'fate', 'countryside', 'maps'],
      dtype=object)}",neighborhood,city,fate,countryside,,"Question: Sean was leaving work and took the roadway that led to his what? (A) neighborhood (B) city (C) fate (D) countryside. 
The correct response is: "," (D) countryside 
The correct response is: (D) countryside 
The correct response is: (D) countryside 
The correct response is: (D) countryside 
The correct"
178,178,304,B,Where can you buy jeans at one of may indoor merchants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gap', 'shopping mall', 'bedroom', 'laundromat', 'bathroom'],
      dtype=object)}",gap,shopping mall,bedroom,laundromat,,"Question: Where can you buy jeans at one of may indoor merchants? (A) gap (B) shopping mall (C) bedroom (D) laundromat. 
The correct response is: "," (D) laundromat 
The correct response is: (D) laundromat 
The correct response is: (D) laundromat 
The correct response is: (D) laundromat"
179,179,232,A,Where is a ferret unlikely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'outdoors', 'aquarium', 'north carolina',
       'great britain'], dtype=object)}",classroom,outdoors,aquarium,north carolina,,"Question: Where is a ferret unlikely to be? (A) classroom (B) outdoors (C) aquarium (D) north carolina. 
The correct response is: "," (D) north carolina 
The ferret is unlikely to be in North Carolina because they are unlikely to survive in warm climates 
The correct response is: (D) north carolina 
The ferret is unlikely to be in North Carolina"
