,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
98,98,295,B,What is a person trying to accomplish when taking analgesics?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['acceptance', 'avoid pain', 'acknowledgment', 'passing grade',
       'intellectual challenge'], dtype=object)}",acceptance,avoid pain,acknowledgment,passing grade,,"Question: What is a person trying to accomplish when taking analgesics? (A) acceptance (B) avoid pain (C) acknowledgment (D) passing grade. 
The correct response is: "," (B) avoid pain  
The person is trying to avoid pain when taking analgesics. 
This is correct: Pain medication helps relieve pain  (A) and is safe for all (B) and is safe for kids (C"
99,99,516,A,Where are the most famous BBQ steakhouses in america?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['texas', 'building', 'kansas city', 'maine', 'falling down'],
      dtype=object)}",texas,building,kansas city,maine,,"Question: Where are the most famous BBQ steakhouses in america? (A) texas (B) building (C) kansas city (D) maine. 
The correct response is: "," (C) kansas city  
The Kansas City style of BBQ is famous for its use of a flat, round penetrant to create a thick, dark-colored sauce that is applied to meats after they are cooked. This style"
100,100,825,B,"Although the sun did rise, what did the pessimist warn everyone it would do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lay', 'go down', 'fall', 'below', 'sundown'], dtype=object)}",lay,go down,fall,below,,"Question: Although the sun did rise, what did the pessimist warn everyone it would do? (A) lay (B) go down (C) fall (D) below. 
The correct response is: "," (B) go down 
The sun rises and sets, but pessimmists always warn that the sun will set. 
The correct response is: (B) go down 
The correct response is: (B) go down "
101,101,958,D,What is a possible outcome for committing murder?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['problems', 'incarceration', 'trial', 'imprisonment',
       'prosecution'], dtype=object)}",problems,incarceration,trial,imprisonment,,"Question: What is a possible outcome for committing murder? (A) problems (B) incarceration (C) trial (D) imprisonment. 
The correct response is: "," (B) incarceration 
The source of this information is: murder is a criminal offense with severe penalties 
The correct response should be: (B) incarceration 
The source of this information is: murder is a criminal offense with"
102,102,1013,D,What could you use to fill a cup and then drink from it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sand box', 'kitchen cabinet', 'waterfall', 'water fountain',
       'table'], dtype=object)}",sand box,kitchen cabinet,waterfall,water fountain,,"Question: What could you use to fill a cup and then drink from it? (A) sand box (B) kitchen cabinet (C) waterfall (D) water fountain. 
The correct response is: "," (C) waterfall 
The cup would be filled with: Water 
The cup would be consumed from: Stream 
The cup would be filled with: Ice 
The cup would be consumed from: Tap 
The cup"
103,103,680,A,Where is one likely to find a fan for their stove?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['appliance store', 'sports stadium', 'dress emporium', 'hot room',
       'football stadium'], dtype=object)}",appliance store,sports stadium,dress emporium,hot room,,"Question: Where is one likely to find a fan for their stove? (A) appliance store (B) sports stadium (C) dress emporium (D) hot room. 
The correct response is: "," (A) appliance store  
The correct response is: (A) appliance store 
The correct response is: (A) appliance store 
The correct response is: (A) appliance store 
The correct response"
104,104,1106,D,Where is a lake likely to be glacial?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'new york', 'new york', 'mountains', 'countryside'],
      dtype=object)}",michigan,new york,new york,mountains,,"Question: Where is a lake likely to be glacial? (A) michigan (B) new york (C) new york (D) mountains. 
The correct response is: "," (D) mountains 
The lake is likely to be glacial in the mountains because glaciers are found in mountains  (A) in the sea (B) in the desert (C) in the plains (D) in elevated areas. 
The correct"
105,105,73,A,"Despite the name a pawn can be quite versatile, all the parts are important in a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chess game', 'scheme', 'chess set', 'checkers', 'north carolina'],
      dtype=object)}",chess game,scheme,chess set,checkers,,"Question: Despite the name a pawn can be quite versatile, all the parts are important in a what? (A) chess game (B) scheme (C) chess set (D) checkers. 
The correct response is: "," (C) chess set 
The pawn is a piece in the game of chess that can be used in a variety of ways in order to achieve a goal. 
The correct response is: (C)"
106,106,489,D,Where would you keep a rug near your front door?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['persia', 'desk', 'table', 'living room', 'hall'], dtype=object)}",persia,desk,table,living room,,"Question: Where would you keep a rug near your front door? (A) persia (B) desk (C) table (D) living room. 
The correct response is: "," (A) persia  
The rug near the front door is likely made in  (A) china (B) india (C) mexico (D) usa. 
The correct response is: (B) india 
The color of the"
107,107,466,B,What do humans do to other humans after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['celebrate', 'burial', 'life', 'rebirth', 'decomposition'],
      dtype=object)}",celebrate,burial,life,rebirth,,"Question: What do humans do to other humans after death? (A) celebrate (B) burial (C) life (D) rebirth. 
The correct response is: "," (B) burial  
The human activity of burial is the most common activity done with the deceased after death, so this is the correct response 
The other options are: (A) celebrate (C) life (D) rebirth 
The correct response"
108,108,1127,B,"If a car-less person want to listen to talk radio in private, where might they listen to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trunk', 'bedroom', 'diner', 'space shuttle', 'shop'], dtype=object)}",trunk,bedroom,diner,space shuttle,,"Question: If a car-less person want to listen to talk radio in private, where might they listen to it? (A) trunk (B) bedroom (C) diner (D) space shuttle. 
The correct response is: "," (B) bedroom 
The correct response is:  (B) bedroom 
The correct response is:  (B) bedroom 
The correct response is:  (B) bedroom"
109,109,892,A,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting event', 'sporting', 'basketball', 'society',
       'ranch country'], dtype=object)}",sporting event,sporting,basketball,society,,"Question: The ball was hit over a boundary and struck an audience member.  What kind of game were they playing? (A) sporting event (B) sporting (C) basketball (D) society. 
The correct response is: "," (A) sporting event  
The ball was hit over a boundary and struck an audience member.  This could have been a cricket match 
The correct response is:  (A) sporting event  "
110,110,36,C,Who is a police officer likely to work for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}",beat,direct traffic,city,street,,"Question: Who is a police officer likely to work for? (A) beat (B) direct traffic (C) city (D) street. 
The correct response is: "," (C) city  
The officer is likely to work for the city 
The correct response is: (C) city 
The officer is likely to work for the city 
The correct response is: (C) city 
The officer is likely to work for the city "
111,111,251,D,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'skateboard', 'meet interesting people',
       'listen to music', 'go to a concert'], dtype=object)}",play cards,skateboard,meet interesting people,listen to music,,"Question: People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what? (A) play cards (B) skateboard (C) meet interesting people (D) listen to music. 
The correct response is: "," (D) listen to music 
The correct response is: (D) listen to music 
The correct response is: (D) listen to music 
The"
112,112,123,D,Colorful anemone look somewhat like what object you find on window sills?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intertidal zone', 'coral sea', 'under water', 'flower bed',
       'florida keys'], dtype=object)}",intertidal zone,coral sea,under water,flower bed,,"Question: Colorful anemone look somewhat like what object you find on window sills? (A) intertidal zone (B) coral sea (C) under water (D) flower bed. 
The correct response is: "," (D) flower bed 
The anemone looks like a flower bed because it looks like it is made of flowers when in fact it is a living creature. 
The anemone is a living organism that looks like"
113,113,510,D,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['profane', 'halibut', 'damaged', 'common', 'halibut'], dtype=object)}",profane,halibut,damaged,common,,"Question: Everybody seemed to be crying at the holy site, the tour guide explained that this was what? (A) profane (B) halibut (C) damaged (D) common. 
The correct response is: "," (D) common 
The tour guide wanted the group to know that the site was  (A) profane 
The site was most likely  (A) profane 
The site was probably  (A)"
114,114,291,C,If not in a stream but in a market where will you find fish?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stream', 'aquarium', 'refrigerator', 'boat ride', 'market'],
      dtype=object)}",stream,aquarium,refrigerator,boat ride,,"Question: If not in a stream but in a market where will you find fish? (A) stream (B) aquarium (C) refrigerator (D) boat ride. 
The correct response is: "," (B) aquarium 
The fish are kept in an aquarium because it is a container of water for aquatic animals such as fish. 
The other options are incorrect because: 
(A) stream is a natural flowing body of"
115,115,2,B,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",doctor,bookstore,market,train station,,"Question: Where would you find magazines along side many other printed works? (A) doctor (B) bookstore (C) market (D) train station. 
The correct response is: "," (B) bookstore 
The reason is: Books and other printed works are found at a book store 
The correct response should have been: (B) bookstore 
The reason is: Books and other printed works are found at a book store 
The"
116,116,765,D,How many hours are in a day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['week', 'bright', 'night', 'twenty four', 'year'], dtype=object)}",week,bright,night,twenty four,,"Question: How many hours are in a day? (A) week (B) bright (C) night (D) twenty four. 
The correct response is: "," (D) twenty four 
The number of hours in a day is 24. 
The number of hours in a week is 168 
The number of hours in a night is 8 
The number of hours in a weekday is 168 
The"
117,117,1079,A,"The newlyweds began copulating their marriage, they wanted many what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['babies', 'odors', 'sadness', 'rapport', 'ejaculation'],
      dtype=object)}",babies,odors,sadness,rapport,,"Question: The newlyweds began copulating their marriage, they wanted many what? (A) babies (B) odors (C) sadness (D) rapport. 
The correct response is: "," (D) rapport 
The newlyweds wanted a lot of rapport  (A) babies 
The correct response is: (A) babies 
The newlyweds wanted a lot of babies  (B) od"
118,118,124,A,From where do aliens arrive?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outer space', 'weekly world news', 'roswell', 'universe', 'mars'],
      dtype=object)}",outer space,weekly world news,roswell,universe,,"Question: From where do aliens arrive? (A) outer space (B) weekly world news (C) roswell (D) universe. 
The correct response is: "," (A) outer space  
The aliens that we have been discovering so far are from: 
The nearest star to our planet is: 
The nearest star to our planet is Alpha Centauri 
The aliens that we have been discovering so far"
119,119,140,D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['later', 'updated', 'still', 'resistance', 'now'], dtype=object)}",later,updated,still,resistance,,"Question: Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what? (A) later (B) updated (C) still (D) resistance. 
The correct response is: "," (D) resistance 
The source of the current is damaged and needs to be fixed. 
The resistance of a circuit is the amount of opposition to the flow of electricity. When there is too much resistance, the"
120,120,171,D,"When you get together with friends to watch film, you might do plenty of this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see what happens', 'enjoy stories', 'pass time', 'have fun',
       'interesting'], dtype=object)}",see what happens,enjoy stories,pass time,have fun,,"Question: When you get together with friends to watch film, you might do plenty of this? (A) see what happens (B) enjoy stories (C) pass time (D) have fun. 
The correct response is: "," (D) have fun 
The correct response is: (D) have fun 
The correct response is: (D) have fun 
The correct response is: (D) have fun 
The correct response is: (D"
121,121,471,A,Where would you get a shower curtain if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['department store', 'restaurant', 'hotel', 'dime store', 'bathtub'],
      dtype=object)}",department store,restaurant,hotel,dime store,,"Question: Where would you get a shower curtain if you do not have one? (A) department store (B) restaurant (C) hotel (D) dime store. 
The correct response is: "," (A) department store  
The correct response is:  (A) department store 
The correct response is:  (A) department store 
The correct response is:  (A) department store 
The correct response is: "
122,122,400,B,Where would you borrow furniture if you do not have any?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sewer', ""neighbor's house"", 'apartment', 'room', 'floor'],
      dtype=object)}",sewer,neighbor's house,apartment,room,,"Question: Where would you borrow furniture if you do not have any? (A) sewer (B) neighbor's house (C) apartment (D) room. 
The correct response is: "," (B) neighbor's house  
The correct response is:  (B) neighbor's house 
The correct response is:  (B) neighbor's house 
The correct response is:  (B) neighbor's house "
123,123,209,C,What is likely to happen to someone who is learning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['overconfidence', 'effectiveness', 'knowing more',
       'head grows larger', 'growth'], dtype=object)}",overconfidence,effectiveness,knowing more,head grows larger,,"Question: What is likely to happen to someone who is learning? (A) overconfidence (B) effectiveness (C) knowing more (D) head grows larger. 
The correct response is: "," (A) overconfidence 
The learner may become overconfident in their abilities and make mistakes as a result. 
The learner may become more effective in their abilities as they learn more. 
The learner may know more as they"
124,124,136,B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}",horror,anxiety and fear,rejection,increased workload,,"Question: What does someone typically feel when applying for a job? (A) horror (B) anxiety and fear (C) rejection (D) increased workload. 
The correct response is: "," (B) anxiety and fear 
The person is most likely to experience anxiety and fear when applying for a job, as they are worried about being accepted or rejected for the position  (A) horror (C) rejection (D) increased workload"
125,125,590,C,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet store', 'outside', 'woodland', 'ocean', 'cafe'], dtype=object)}",pet store,outside,woodland,ocean,,"Question: Joe is a  squirrel, which is an animal. He probably lives in what sort of place. (A) pet store (B) outside (C) woodland (D) ocean. 
The correct response is: "," (C) woodland  
The correct response is: (C) woodland 
The correct response is: (C) woodland 
The correct response is: (C) woodland 
The correct response is"
126,126,868,D,What happens when you go somewhere and forget something at home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arriving', 'arrive there', 'turn around', 'go back', 'fart'],
      dtype=object)}",arriving,arrive there,turn around,go back,,"Question: What happens when you go somewhere and forget something at home? (A) arriving (B) arrive there (C) turn around (D) go back. 
The correct response is: "," (C) turn around 
The correct response is: Turn around 
The correct response is: Go back 
The correct response is: Arrive there 
The correct response is: Go back 
The correct response is: Arriving 
The correct"
127,127,591,C,Where could a personal ficus live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabin in the woods', 'california', 'front yard', 'conservatory',
       'tropical forest'], dtype=object)}",cabin in the woods,california,front yard,conservatory,,"Question: Where could a personal ficus live? (A) cabin in the woods (B) california (C) front yard (D) conservatory. 
The correct response is: "," (D) conservatory  
The Ficus needs warm temperatures and can be grown outside in a conservatory or in a heated room. It can also be pruned to grow in a container. 
The correct response is: (D) conservatory "
128,128,139,A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}",countryside,great plains,encyclopedia,jungle,,"Question: What green area is a marmot likely to be found in? (A) countryside (B) great plains (C) encyclopedia (D) jungle. 
The correct response is: "," (A) countryside  
The marmot is likely to be found in a large, expansive area with lots of vegetation, such as a countryside or park. These areas typically have grassy spaces and"
129,129,64,A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",state park,bus stop,bus depot,statue,,"Question: What is a place that has a bench nestled in trees? (A) state park (B) bus stop (C) bus depot (D) statue. 
The correct response is: "," (A) state park  
The correct response is:  (A) state park 
The correct response is:  (A) state park 
The correct response is:  (A) state park 
The correct response is:  ("
130,130,57,D,Where would you go if you wanted to have fun with a few people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",watching television,good,cinema,friend's house,,"Question: Where would you go if you wanted to have fun with a few people? (A) watching television (B) good (C) cinema (D) friend's house. 
The correct response is: "," (D) friend's house  
The correct response is:  (D) friend's house 
The correct response is:  (D) friend's house 
The correct response is:  (D) friend's house"
131,131,12,A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",farm house,barnyard,stockyard,slaughter house,,"Question: Where does a heifer's master live? (A) farm house (B) barnyard (C) stockyard (D) slaughter house. 
The correct response is: "," (D) slaughter house  
The heifer's master is a human who operates a slaughterhouse 
The heifer is a living being 
The correct response is: (D) slaughter house 
The heifer"
132,132,1129,D,Where is a good place to have a fireplace in a house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big house', 'train', 'cabin', 'living room', 'home'], dtype=object)}",big house,train,cabin,living room,,"Question: Where is a good place to have a fireplace in a house? (A) big house (B) train (C) cabin (D) living room. 
The correct response is: "," (D) living room 
The fireplace can be dangerous, so it should be in a space where it is easily avoidable, such as the living room. 
The correct response is: (D) living room 
The correct response is: (D)"
133,133,299,A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}",casino,football ground,ballpark,family room,,"Question: Where do play a game for money? (A) casino (B) football ground (C) ballpark (D) family room. 
The correct response is: "," (A) casino  
The game is most likely: poker 
The game is most likely: slots 
The game is most likely: blackjack 
The game is most likely: roulette 
The game is most likely: craps 
The game"
134,134,841,C,Metal is taken from what which is pulled from the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'instruments', 'ore', 'car', 'junkyard'], dtype=object)}",dirt,instruments,ore,car,,"Question: Metal is taken from what which is pulled from the ground? (A) dirt (B) instruments (C) ore (D) car. 
The correct response is: "," (C) ore  
The metal iron is found in what is known as ore. This is rock that contains enough metal to be profitable to extract. Once the ore is extracted, it is then processed to produce pure metal. 
The correct response is: (C) ore"
135,135,501,C,"By learning about the world, many poor college students gain what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'greater mobility', 'desire to travel',
       'global warming', 'increased security'], dtype=object)}",pleasure,greater mobility,desire to travel,global warming,,"Question: By learning about the world, many poor college students gain what? (A) pleasure (B) greater mobility (C) desire to travel (D) global warming. 
The correct response is: "," (B) greater mobility 
The student is able to afford more transportation, so they are able to  (A) travel more (B) have more mobility (C) move around more (D) travel further. 
The correct response"
136,136,483,D,What happens to a body after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rebirth', 'human experience', 'sadness', 'decomposition',
       'obesity'], dtype=object)}",rebirth,human experience,sadness,decomposition,,"Question: What happens to a body after death? (A) rebirth (B) human experience (C) sadness (D) decomposition. 
The correct response is: "," (D) decomposition  
The body decomposes after death, which means that it breaks down. This process is a natural part of the life cycle, and it involves the breakdown of the body into basic components, such as nutrients. These nutrients can then be reused for"
137,137,1031,D,Noble citizen of the Roman empire believed those born with lower status were what to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loser', 'ignoble', 'peasant', 'inferior', 'plebeian'],
      dtype=object)}",loser,ignoble,peasant,inferior,,"Question: Noble citizen of the Roman empire believed those born with lower status were what to them? (A) loser (B) ignoble (C) peasant (D) inferior. 
The correct response is: "," (B) ignoble 
The source of this information is: http://www.bbc.co.uk/bitesize/articles/zb8xqb1 
The date of this information is:"
138,138,347,D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}",change of color,stop breathing,wake up,death and decay,,"Question: As a result of dying, what happens to organic material? (A) change of color (B) stop breathing (C) wake up (D) death and decay. 
The correct response is: "," (D) death and decay 
The organic material will: Decompose 
The decomposing organic material will: Break down 
The decomposing organic material will lose its: Structure 
The organic material will"
139,139,1121,B,What does 	drinking alcohol lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'intoxication', 'vomiting', 'drinking more alcohol',
       'nausea'], dtype=object)}",have fun,intoxication,vomiting,drinking more alcohol,,"Question: What does 	drinking alcohol lead to? (A) have fun (B) intoxication (C) vomiting (D) drinking more alcohol. 
The correct response is: "," (B) intoxication 
The drinking of alcohol can lead to impairment of the user's faculties, leading to impaired judgment, and a lessened ability to react to situations as they occur. 
This is"
140,140,244,B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}",man suit,pants,naked,action,,"Question: Women used to be expected to wear a dress but it's now acceptable for them to wear what? (A) man suit (B) pants (C) naked (D) action. 
The correct response is: "," (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is:"
141,141,1116,A,Where is a bird likely to make it's home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'nest', 'roof', 'leaves', 'sky'], dtype=object)}",forest,nest,roof,leaves,,"Question: Where is a bird likely to make it's home? (A) forest (B) nest (C) roof (D) leaves. 
The correct response is: "," (A) forest  
The correct response is: 2nd choice 
The correct response is: none of these 
The correct response is: 4th choice 
The correct response is: 1st choice 
The correct response is: (B) nest "
142,142,543,B,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting his nails', 'playing marbles', 'constructing',
       'need for rest', 'wild ride'], dtype=object)}",painting his nails,playing marbles,constructing,need for rest,,"Question: Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing? (A) painting his nails (B) playing marbles (C) constructing (D) need for rest. 
The correct response is: "," (C) constructing 
The childlike activity that Stark was engaging in was: Building  (A) painting his nails (B) playing marbles (C) constructing"
143,143,117,C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}",bus stop,tunnel,synagogue,fairy tale,,"Question: Where could a person avoid the rain? (A) bus stop (B) tunnel (C) synagogue (D) fairy tale. 
The correct response is: "," (A) bus stop  
The person is seeking to avoid getting wet by the rain, so the correct response is: bus stop 
The other responses are: (B) tunnel (C) synagogue (D) fairy tale 
The person is unlikely to be"
144,144,318,B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}",maryland,indiana,on tv,park,,"Question: They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where? (A) maryland (B) indiana (C) on tv (D) park. 
The correct response is: "," (C) on tv  
The apple tree is unlikely to have been near an racetrack, as they are typically found in fields or orchards, and most racetra"
145,145,121,C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}",accidental,detestable,effusive,enabled,,"Question: James noticed that his penis was bigger. .  How might he act toward his plastic surgeon? (A) accidental (B) detestable (C) effusive (D) enabled. 
The correct response is: "," (D) enabled 
The surgeon operated on James to fix a condition he had, and now his penis is bigger than it was before. James might act toward his surgeon with gratitude, so the correct"
146,146,352,B,What happens when to ice when it is in the sun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",carved,melted,ice cream,antarctica,,"Question: What happens when to ice when it is in the sun? (A) carved (B) melted (C) ice cream (D) antarctica. 
The correct response is: "," (B) melted  
The ice will melt when it is in the sun because of the heat and warmth from the sun's rays. 
The other options are incorrect because: 
* (A) carved is"
147,147,556,A,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battery', 'electronic equipment', 'electrolytic cell', 'charge',
       'tube'], dtype=object)}",battery,electronic equipment,electrolytic cell,charge,,"Question: The electrode wouldn't spark, it turned out that the what hadn't been connected? (A) battery (B) electronic equipment (C) electrolytic cell (D) charge. 
The correct response is: "," (B) electronic equipment 
The circuit can't function without: (D) charge 
The correct response is: (D) charge 
The electrode wouldn't spark, it turned out that the what hadn"
148,148,944,A,"The terrace had Kanji written on it, indicating that it was made where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['japan', 'rice paddy', 'garden', 'michigan', 'italy'], dtype=object)}",japan,rice paddy,garden,michigan,,"Question: The terrace had Kanji written on it, indicating that it was made where? (A) japan (B) rice paddy (C) garden (D) michigan. 
The correct response is: "," (A) japan 
The terrace had Kanji written on it, indicating that it was made where? 
The correct response is: (A) japan 
The terrace had Kanji written on it, indicating that it"
149,149,522,A,Where could there be a battle that involves words?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'war', 'video game', 'iraq', 'church'], dtype=object)}",court room,war,video game,iraq,,"Question: Where could there be a battle that involves words? (A) court room (B) war (C) video game (D) iraq. 
The correct response is: "," (A) court room  
The correct response is:  (A) court room 
The correct response is:  (A) court room 
The correct response is:  (A) court room 
The correct response is:  (A) court room"
150,150,201,A,What part of a table would you put a ruler in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'desk', 'the backside', 'office', 'measure distance'],
      dtype=object)}",drawer,desk,the backside,office,,"Question: What part of a table would you put a ruler in? (A) drawer (B) desk (C) the backside (D) office. 
The correct response is: "," (C) the backside 
The ruler would be placed in the backside of the table, which is a side that is facing down towards the floor. 
The correct response is: (C) the backside 
The ruler would be placed"
151,151,995,A,John and Tim like playing. It makes them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling happy', 'learning', 'injury', 'burn', 'get hungry'],
      dtype=object)}",feeling happy,learning,injury,burn,,"Question: John and Tim like playing. It makes them what? (A) feeling happy (B) learning (C) injury (D) burn. 
The correct response is: "," (A) feeling happy  
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
"
152,152,170,C,John didn't care about style.  He felt that form was less important than what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shapeless', 'quality', 'function', 'change shape', 'chaos'],
      dtype=object)}",shapeless,quality,function,change shape,,"Question: John didn't care about style.  He felt that form was less important than what? (A) shapeless (B) quality (C) function (D) change shape. 
The correct response is: "," (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
The correct response is: (C) function 
"
153,153,620,A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water plants', 'believe in god', 'drive to the nearest pool',
       'speaking english', 'raise children'], dtype=object)}",water plants,believe in god,drive to the nearest pool,speaking english,,"Question: The fresh herbs, flowers, and vegetables will shrivel up if people don't do this? (A) water plants (B) believe in god (C) drive to the nearest pool (D) speaking english. 
The correct response is: "," (A) water plants  
The fresh herbs, flowers, and vegetables will shrivel up if people don't do this because they need to be watered to stay health"
