index,answerKey,question,choices,A,B,C,D
510,D,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['profane', 'halibut', 'damaged', 'common', 'halibut'], dtype=object)}",profane,halibut,damaged,common
291,C,If not in a stream but in a market where will you find fish?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stream', 'aquarium', 'refrigerator', 'boat ride', 'market'],
      dtype=object)}",stream,aquarium,refrigerator,boat ride
2,B,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",doctor,bookstore,market,train station
765,D,How many hours are in a day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['week', 'bright', 'night', 'twenty four', 'year'], dtype=object)}",week,bright,night,twenty four
1079,A,"The newlyweds began copulating their marriage, they wanted many what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['babies', 'odors', 'sadness', 'rapport', 'ejaculation'],
      dtype=object)}",babies,odors,sadness,rapport
124,A,From where do aliens arrive?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outer space', 'weekly world news', 'roswell', 'universe', 'mars'],
      dtype=object)}",outer space,weekly world news,roswell,universe
140,D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['later', 'updated', 'still', 'resistance', 'now'], dtype=object)}",later,updated,still,resistance
171,D,"When you get together with friends to watch film, you might do plenty of this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see what happens', 'enjoy stories', 'pass time', 'have fun',
       'interesting'], dtype=object)}",see what happens,enjoy stories,pass time,have fun
471,A,Where would you get a shower curtain if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['department store', 'restaurant', 'hotel', 'dime store', 'bathtub'],
      dtype=object)}",department store,restaurant,hotel,dime store
400,B,Where would you borrow furniture if you do not have any?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sewer', ""neighbor's house"", 'apartment', 'room', 'floor'],
      dtype=object)}",sewer,neighbor's house,apartment,room
209,C,What is likely to happen to someone who is learning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['overconfidence', 'effectiveness', 'knowing more',
       'head grows larger', 'growth'], dtype=object)}",overconfidence,effectiveness,knowing more,head grows larger
136,B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}",horror,anxiety and fear,rejection,increased workload
590,C,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet store', 'outside', 'woodland', 'ocean', 'cafe'], dtype=object)}",pet store,outside,woodland,ocean
868,D,What happens when you go somewhere and forget something at home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arriving', 'arrive there', 'turn around', 'go back', 'fart'],
      dtype=object)}",arriving,arrive there,turn around,go back
591,C,Where could a personal ficus live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabin in the woods', 'california', 'front yard', 'conservatory',
       'tropical forest'], dtype=object)}",cabin in the woods,california,front yard,conservatory
139,A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}",countryside,great plains,encyclopedia,jungle
64,A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",state park,bus stop,bus depot,statue
57,D,Where would you go if you wanted to have fun with a few people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",watching television,good,cinema,friend's house
12,A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",farm house,barnyard,stockyard,slaughter house
1129,D,Where is a good place to have a fireplace in a house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big house', 'train', 'cabin', 'living room', 'home'], dtype=object)}",big house,train,cabin,living room
299,A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}",casino,football ground,ballpark,family room
841,C,Metal is taken from what which is pulled from the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'instruments', 'ore', 'car', 'junkyard'], dtype=object)}",dirt,instruments,ore,car
501,C,"By learning about the world, many poor college students gain what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'greater mobility', 'desire to travel',
       'global warming', 'increased security'], dtype=object)}",pleasure,greater mobility,desire to travel,global warming
483,D,What happens to a body after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rebirth', 'human experience', 'sadness', 'decomposition',
       'obesity'], dtype=object)}",rebirth,human experience,sadness,decomposition
1031,D,Noble citizen of the Roman empire believed those born with lower status were what to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loser', 'ignoble', 'peasant', 'inferior', 'plebeian'],
      dtype=object)}",loser,ignoble,peasant,inferior
347,D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}",change of color,stop breathing,wake up,death and decay
1121,B,What does 	drinking alcohol lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'intoxication', 'vomiting', 'drinking more alcohol',
       'nausea'], dtype=object)}",have fun,intoxication,vomiting,drinking more alcohol
244,B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}",man suit,pants,naked,action
1116,A,Where is a bird likely to make it's home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'nest', 'roof', 'leaves', 'sky'], dtype=object)}",forest,nest,roof,leaves
543,B,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting his nails', 'playing marbles', 'constructing',
       'need for rest', 'wild ride'], dtype=object)}",painting his nails,playing marbles,constructing,need for rest
117,C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}",bus stop,tunnel,synagogue,fairy tale
318,B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}",maryland,indiana,on tv,park
121,C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}",accidental,detestable,effusive,enabled
352,B,What happens when to ice when it is in the sun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",carved,melted,ice cream,antarctica
556,A,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battery', 'electronic equipment', 'electrolytic cell', 'charge',
       'tube'], dtype=object)}",battery,electronic equipment,electrolytic cell,charge
944,A,"The terrace had Kanji written on it, indicating that it was made where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['japan', 'rice paddy', 'garden', 'michigan', 'italy'], dtype=object)}",japan,rice paddy,garden,michigan
522,A,Where could there be a battle that involves words?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'war', 'video game', 'iraq', 'church'], dtype=object)}",court room,war,video game,iraq
201,A,What part of a table would you put a ruler in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'desk', 'the backside', 'office', 'measure distance'],
      dtype=object)}",drawer,desk,the backside,office
995,A,John and Tim like playing. It makes them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling happy', 'learning', 'injury', 'burn', 'get hungry'],
      dtype=object)}",feeling happy,learning,injury,burn
170,C,John didn't care about style.  He felt that form was less important than what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shapeless', 'quality', 'function', 'change shape', 'chaos'],
      dtype=object)}",shapeless,quality,function,change shape
620,A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water plants', 'believe in god', 'drive to the nearest pool',
       'speaking english', 'raise children'], dtype=object)}",water plants,believe in god,drive to the nearest pool,speaking english
691,C,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deadly', 'imprisoned', 'paid for', 'expensive', 'in prison'],
      dtype=object)}",deadly,imprisoned,paid for,expensive
862,C,Where would you display a picture on a horizontal surface?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microwave', 'desktop', 'shelf', 'art show', 'wall'], dtype=object)}",microwave,desktop,shelf,art show
468,B,What would you put coins into to make it work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stove', 'water fountain', 'desk', 'purse', 'jar'], dtype=object)}",stove,water fountain,desk,purse
98,B,What would you be unable to do if you have too much greed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}",keep things,make friends,play poker,conquer opponent
340,A,What is someone usually doing if someone else is talking to him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listening', 'language', 'looking at eyes',
       'planning the perfect murder', 'voice'], dtype=object)}",listening,language,looking at eyes,planning the perfect murder
459,C,Where would a person live that isn't in the metro area but still has good schools?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'bed', 'suburbs', 'rural', 'neighborhood'], dtype=object)}",woods,bed,suburbs,rural
745,B,Where do you keep your pizza slice before you eat it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'plate', 'restaurant', 'oven', 'popular'], dtype=object)}",table,plate,restaurant,oven
1045,C,What do parents tell a child to do on the weekend?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'begin school', 'go out to play', 'row boat',
       'clean room'], dtype=object)}",study,begin school,go out to play,row boat
1196,D,John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet shops', 'oklahoma', 'basement', 'bedroom', 'dreams'],
      dtype=object)}",pet shops,oklahoma,basement,bedroom
997,C,"Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meat loaf', 'bedroom', 'microwave', 'living room', 'floor'],
      dtype=object)}",meat loaf,bedroom,microwave,living room
448,D,Where would a cat snuggle up with their human?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floor', 'humane society', 'bed', 'comfortable chair',
       'window sill'], dtype=object)}",floor,humane society,bed,comfortable chair
1095,C,"She wanted to get in shape, but she couldn't stay focused on the hour long what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'excercise', 'work out', 'video', 'swim'], dtype=object)}",sweating,excercise,work out,video
517,B,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['building', 'conference', 'assessment', 'demonstration', 'garage'],
      dtype=object)}",building,conference,assessment,demonstration
1022,A,What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airplane', 'scooter', 'motorboat', 'car', 'motor vehicle'],
      dtype=object)}",airplane,scooter,motorboat,car
92,D,"Anybody could be hired in the kitchen, what was needed of them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forget', 'oil squeaky hinge', 'question authority', 'wash dishes',
       'oik squeaky hinge'], dtype=object)}",forget,oil squeaky hinge,question authority,wash dishes
164,C,Where would someone purchase an upright piano?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music class', 'college', 'music store', 'music room',
       'music band'], dtype=object)}",music class,college,music store,music room
918,A,A town between two mountains is located in a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['valley', 'hospital', 'state', 'train station', 'michigan'],
      dtype=object)}",valley,hospital,state,train station
537,A,"The audience listened to the orchestra play, where were they watching the performance?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['concert hall', 'museum', 'school', 'hockey game',
       'sporting event'], dtype=object)}",concert hall,museum,school,hockey game
914,D,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swimming pool', ""rich person's house"", 'country club',
       'fitness center', 'park'], dtype=object)}",swimming pool,rich person's house,country club,fitness center
326,A,What room would you find many bookcases and is used for contemplation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'house', 'homw', 'kitchen', 'den'], dtype=object)}",study,house,homw,kitchen
838,B,"I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['care less', 'play golf', 'shake hands', 'believe in god',
       'trip over'], dtype=object)}",care less,play golf,shake hands,believe in god
782,B,How is a child eager to be going to play likely to get there?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slowly', 'rush', 'being entertained', 'have fun', 'enjoyment'],
      dtype=object)}",slowly,rush,being entertained,have fun
233,B,If you jump in any of the oceans you will get?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tanned', 'wet', 'wide', 'very deep', 'fish'], dtype=object)}",tanned,wet,wide,very deep
750,A,Sean was leaving work and took the roadway that led to his what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['neighborhood', 'city', 'fate', 'countryside', 'maps'],
      dtype=object)}",neighborhood,city,fate,countryside
304,B,Where can you buy jeans at one of may indoor merchants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gap', 'shopping mall', 'bedroom', 'laundromat', 'bathroom'],
      dtype=object)}",gap,shopping mall,bedroom,laundromat
232,A,Where is a ferret unlikely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'outdoors', 'aquarium', 'north carolina',
       'great britain'], dtype=object)}",classroom,outdoors,aquarium,north carolina
1056,C,Where in your home would you keep a ballpoint pen when not in use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backpack', 'bank', 'desk drawer', 'eat cake', 'office desk'],
      dtype=object)}",backpack,bank,desk drawer,eat cake
567,D,"A potato is kept in the cellar, where is likely to be stored?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""farmer's market"", 'grocery bag', 'pantry', 'bushel basket',
       'fridge'], dtype=object)}",farmer's market,grocery bag,pantry,bushel basket
811,D,What do the feathers look like on birds found in the rainforest?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pretty smart', 'singing', 'dark', 'very colorful', 'light'],
      dtype=object)}",pretty smart,singing,dark,very colorful
845,B,Many homes in this country are built around a courtyard. Where is it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['candidate', 'spain', 'lawn', 'asshole', 'office complex'],
      dtype=object)}",candidate,spain,lawn,asshole
669,C,"If there is a pond with trees around it, where it it likely located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ground', 'bathroom', 'forest', 'countryside', 'rural area'],
      dtype=object)}",ground,bathroom,forest,countryside
587,C,Where would you hear a violin along side many string and wind instruments?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'string quartet', 'orchestra', 'kitchen', 'music room'],
      dtype=object)}",school,string quartet,orchestra,kitchen
426,A,Where would you go if you want to buy some clothes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mall', 'grocery store', 'grocery store', 'shop', 'supermarket'],
      dtype=object)}",mall,grocery store,grocery store,shop
836,A,What can happen when you contemplate alone for a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['daydream', 'headache', 'get ideas', 'sleep', 'become distracted'],
      dtype=object)}",daydream,headache,get ideas,sleep
889,A,"The teacher played on the upright piano, she was explaining the song to all the students in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music room', 'bathroom', 'house', 'living room', 'music store'],
      dtype=object)}",music room,bathroom,house,living room
954,D,Where are sheep likely to live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'meadow', 'lamb', 'farm', 'fairgrounds'], dtype=object)}",school,meadow,lamb,farm
502,B,Where are required to carry books all day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""friend's house"", 'university', 'large city', 'storage', 'table'],
      dtype=object)}",friend's house,university,large city,storage
1089,B,What is the purpose of playing games for children?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['winning', 'learning', 'losing', 'fatigue', 'skill'], dtype=object)}",winning,learning,losing,fatigue
1113,D,The place where my linen closet is really needs repainting a light color as it only has one overhead light.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['house', 'home', 'pool house', 'hallway', 'bedroom'], dtype=object)}",house,home,pool house,hallway
246,C,What is a wet person likely to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'thank god', 'catch cold', 'suicide',
       'cross street'], dtype=object)}",gain weight,thank god,catch cold,suicide
442,B,what do you fill with ink to write?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['squid', 'fountain pen', 'pencil case', 'newspaper', 'printer'],
      dtype=object)}",squid,fountain pen,pencil case,newspaper
521,C,"When people are playing a game, what is their motivation to play?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['believe in god', 'dance', 'desire to win', 'destroy each other',
       'run amok'], dtype=object)}",believe in god,dance,desire to win,destroy each other
1128,B,"Billy was an astronaut.  When he looked at the world from space, how did it look?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['diverse', 'round', 'square', 'orange', 'complicated'],
      dtype=object)}",diverse,round,square,orange
269,C,"He was having a hard time expressing himself in a healthy way, the psychologist said he was mentally what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slow', 'understood', 'suffering', 'embarrassment', 'fun'],
      dtype=object)}",slow,understood,suffering,embarrassment
578,B,What do the terms need to be in order to compete against someone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cheat', 'fair', 'in competition', 'practice', 'sabotage'],
      dtype=object)}",cheat,fair,in competition,practice
316,D,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surface of earth', 'teardrops', 'snowflake', 'typhoon', 'motor'],
      dtype=object)}",surface of earth,teardrops,snowflake,typhoon
921,C,What is a person looking for when completing puzzles or riddles?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['avoid pain', 'compliments', 'intellectual challenge',
       'passing grade', 'attention'], dtype=object)}",avoid pain,compliments,intellectual challenge,passing grade
890,D,"When you get an F, you fail. If you get A's you are?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['passed', 'completing', 'passed', 'passing', 'succeeding'],
      dtype=object)}",passed,completing,passed,passing
110,C,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deep breathing', 'worried', 'fall asleep', 'invigorating',
       'feeling good'], dtype=object)}",deep breathing,worried,fall asleep,invigorating
770,B,I house outside the center of a community is said to be where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'subdivision', 'newspaper', 'residential area', 'street'],
      dtype=object)}",city,subdivision,newspaper,residential area
881,A,"At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cook dinner', 'did chores', 'make food', 'stretch out',
       'get food'], dtype=object)}",cook dinner,did chores,make food,stretch out
555,D,"At the picnic she was stuck eating hamburger, she was worried because she forgot her chewables to prevent what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat cake', 'have fun', 'food poisoning', 'heartburn',
       'gain weight'], dtype=object)}",eat cake,have fun,food poisoning,heartburn
738,B,James bought a new set of tire chains and put them somewhere he could find them.  Where would he put them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gear shift', 'garage', 'kitchen', 'jewelry store',
       'hardware store'], dtype=object)}",gear shift,garage,kitchen,jewelry store
1188,A,What could you use to get to some airplanes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['taxi', 'carry people', 'car', 'stall', 'crash'], dtype=object)}",taxi,carry people,car,stall
314,B,"They children loved having a back yard, and the parents loved that it was a safe what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['suburb', 'neighborhood', 'back of house', 'roundabout',
       'property'], dtype=object)}",suburb,neighborhood,back of house,roundabout
1150,D,"He picked up the perfect pebble, he planned to skip it across the entire small what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manual', 'lake', 'aquarium', 'pond', 'playground'], dtype=object)}",manual,lake,aquarium,pond
1190,B,What are our bodies doing after having food?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'digesting', 'gas', 'weight gain', 'not hungry'],
      dtype=object)}",falling down,digesting,gas,weight gain
1027,A,"They were never going to be big actors, but they all had passion for the local what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theater', 'opera', 'show', 'television', 'blockbuster feature'],
      dtype=object)}",theater,opera,show,television
505,D,John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['closet', 'under the bed', 'television', 'attic', 'most buildings'],
      dtype=object)}",closet,under the bed,television,attic
506,B,"Something had the nerve to break into the garbage last night, what did it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eyes', 'animal', 'fingertips', 'brainstem', 'human body'],
      dtype=object)}",eyes,animal,fingertips,brainstem
982,A,Someone who had a very bad flight might be given a trip in this to make up for it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['first class', 'propitious', 'reputable', 'one', 'sufficient'],
      dtype=object)}",first class,propitious,reputable,one
1119,B,What does everyone feel of monsters?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['looking for love', 'afraid of', 'good at', 'make pet',
       'different'], dtype=object)}",looking for love,afraid of,good at,make pet
439,A,If it is Chrismas time what came most recently before?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['halloween', 'summer', 'easter', 'kwaanza', 'give gift'],
      dtype=object)}",halloween,summer,easter,kwaanza
920,A,Why did the heavy metal band need electricity at the stadium?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['concert', 'bedroom', 'make person sick', 'building', 'church'],
      dtype=object)}",concert,bedroom,make person sick,building
639,A,How is a person likely to communicatewith others?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['say words', 'meet friends', 'open mouth', 'thank god',
       'die of cancer'], dtype=object)}",say words,meet friends,open mouth,thank god
1213,A,Where can you find a dogs house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['found outside', 'faithful', 'frightening', 'cold', 'four legs'],
      dtype=object)}",found outside,faithful,frightening,cold
557,A,For what entity should the government work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['country', 'democracy', 'canada', 'civilization', 'tax office'],
      dtype=object)}",country,democracy,canada,civilization
565,A,"I want to use string to keep something from moving, how should I do it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tie around', 'wind around', 'weave', 'stringbed', 'ball up'],
      dtype=object)}",tie around,wind around,weave,stringbed
759,D,Where would you get some wood if you do not have any?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carpet', 'boat', 'river', 'lumberyard', 'synagogue'], dtype=object)}",carpet,boat,river,lumberyard
1192,A,What do you do in order to fly in airplane?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy tickets', 'passenger', 'read', 'add gas',
       'run through checklists'], dtype=object)}",buy tickets,passenger,read,add gas
366,C,Killing people should not cause what emotion?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vengeance', 'going to prison', 'joy', 'afraid', 'terrible'],
      dtype=object)}",vengeance,going to prison,joy,afraid
518,A,If you're attending school and are falling asleep you're likely experiencing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boredom', 'malaria', 'graduate', 'inspiration', 'detention'],
      dtype=object)}",boredom,malaria,graduate,inspiration
586,C,"John was a bit think in the head, but he knew that he never saw the lady before.  They were what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pay debts', 'slender', 'unacquainted', 'free flowing', 'sparse'],
      dtype=object)}",pay debts,slender,unacquainted,free flowing
589,D,Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['downtown area', 'centre of town', 'bedroom', 'europe', 'big city'],
      dtype=object)}",downtown area,centre of town,bedroom,europe
